ID,CENTER,DOORS,LINK1,LINK2,LINK3,LINK4,LINK5,LINK6
ROW2,Clover,"5",PSCDTPH,TBHCSBH,DTDTTSC,HCHSTDH,BPSSHBC,TSCHHST
ROW3,Diamond,"2,4,5",CCHSCSS,BPSSHBC,TSTPDHH,PDDSCCH,BBBBBBB,BBBBBBB
ROW4,Plus,"6",CPHCHDS,BBBBBBB,BBBBBBB,BBBBBBB,BTPPCPH,TPDDTPS
ROW5,Clover,"3",BBBBBBB,BBBBBBB,SBTHPPD,SPPHPPH,SBTSCCB,BBBBBBB
ROW6,Clover,"1,2,3",PDDSCCH,TCHPBBP,PTHBHBB,BBBBBBB,BBBBBBB,BBBBBBB
ROW7,Clover,"1",TBSHCPH,BTPPCPH,BBBBBBB,BBBBBBB,PPCTSPT,SSPCHCD
ROW8,Plus,"3,5",SCHDPHB,DHHPTHT,BCTSPBB,DBSPTSD,BHPBDBT,DTDTTSC
ROW9,Hex,"2,3,4,6",CHDBPCH,TCTCBDC,TPDDTPS,TBSHCPH,SSPTTTH,BCTSPBB
ROW10,Clover,"2,3,6",STDSHPT,DSDDHBT,CHPCCST,BBBBBBB,BBBBBBB,PTHBHBB
ROW11,Plus,"3",HDPBSDS,SSTCTDS,TCSTSHH,CHDBPCH,DHHPTHT,STDPSSH
ROW12,Snake,"2,5",HCHSTDH,BHPBDBT,DDDHCDS,STDSHPT,TCHPBBP,TSTPDHH
ROW13,Hex,"3,5,6",BBBBBBB,BBBBBBB,BPDBCCS,HDPBSDS,DHPCHPD,SBTHPPD
ROW14,Clover,"3,5",BBBBBBB,SBTSCCB,TCHDHSB,PSCDTPH,DHDSPTT,BBBBBBB
ROW15,Plus,"4,6",BBBBBBB,BBBBBBB,BBBBBBB,BPTDSBB,SSTCTDS,BPDBCCS
ROW16,Hex,"5",DBSPTSD,SSPTTTH,SSPCHCD,HTDBBDD,DSDDHBT,DDDHCDS
ROW17,Diamond,"2,6",SPPHPPH,DHPCHPD,STDPSSH,SCHDPHB,TBHCSBH,TCHDHSB
ROW18,Hex,"1,5,6",BPTDSBB,BBBBBBB,BBBBBBB,CPHCHDS,TCTCBDC,TCSTSHH
ROW19,Plus,"6",HTDBBDD,PPCTSPT,BBBBBBB,BBBBBBB,BBBBBBB,CHPCCST
ROW20,Snake,"2,5",BBBBBBB,DHDSPTT,TSCHHST,CCHSCSS,BBBBBBB,BBBBBBB
ROW21,Blank,"5",BBBBBBB,BBBBBBB,BHSHDBP,DBSDPBS,HDSTHHT,BBBBBBB
ROW22,Blank,"3",BBBBBBB,BBBBBBB,BTBDTCS,CDHCPTT,HTHDTTS,BBBBBBB
ROW23,Blank,"5",BBBBBBB,BBBBBBB,CHBDBCD,HTSCBBP,CBPDHHC,BBBBBBB
ROW24,Blank,"4",BBBBBBB,BBBBBBB,CHBSCDT,HHBSPHC,DSTDCPS,BBBBBBB
ROW25,Blank,"3,5",BBBBBBB,BBBBBBB,CHSHTDD,BBCCSPH,HTCSHBS,BBBBBBB
ROW26,Blank,"4",BBBBBBB,BBBBBBB,CPCHSCH,SDHCPCD,CTBPHCT,BBBBBBB
ROW27,Blank,"5",BBBBBBB,BBBBBBB,DDCSSDC,SPHTBPH,TBPSPDS,BBBBBBB
ROW28,Blank,"3,5",BBBBBBB,BBBBBBB,DPCDDDP,TCTTSBH,SPDPCDC,BBBBBBB
ROW29,Blank,"3",BBBBBBB,BBBBBBB,PCDPBHC,BSPPTHT,CTPSBTT,BBBBBBB
ROW30,Blank,"4",BBBBBBB,BBBBBBB,PDBSDBD,BHSSTBC,SBHHDHT,BBBBBBB
ROW31,Blank,"5",BBBBBBB,BBBBBBB,SCHHCPT,PDBCHDD,HPHBPHS,BBBBBBB
ROW32,Diamond,"3,4,5",BBBBBBB,BBBBBBB,SSTDCPS,PCTHHDH,HSSSPPS,BBBBBBB
ROW33,Blank,"3",BBBBBBB,BBBBBBB,SSTHDBT,CSDBPSD,CPSSCPC,BBBBBBB
ROW34,Blank,"3,5",BBBBBBB,BBBBBBB,TTPPBPD,SPPPSHS,HPDSPCT,BBBBBBB
ROW35,Blank,"2,6",BBBBBBB,CBPDHHC,HHBSHCP,SDTCSPD,HHHPBDT,HHBCPPH
ROW36,Blank,"3",BBBBBBB,CPSSCPC,BCHHCHT,SDHBBBB,BSPTBSH,SDTSHCT
ROW37,Blank,"3",BBBBBBB,CTPSBTT,SHCDSPT,BPCPHTD,BHTBDHD,CHBSCDT
ROW38,Clover,"2,3,4,5",BBBBBBB,DBCBDTS,HBTCTHS,HPHTCTH,DSSSDDC,CSHBBSH
ROW39,Blank,"2,6",BBBBBBB,HBSTDHC,PCDTHCB,BBSCDCT,BTDBPCT,SSTDCPS
ROW40,Blank,"2,5",BBBBBBB,HDSTHHT,HSTSTCC,BBPCBBS,PBDSPTB,SHHBPHB
ROW41,Blank,"2,3,4,6",BBBBBBB,HTCSHBS,PPBHPSS,HSDDBPC,PDCTHHS,BPSCDSC
ROW42,Diamond,"3,5,6",BBBBBBB,HTHDTTS,BCDSPTD,BPHHTCC,DPTHBPT,DPCDDDP
ROW43,Plus,"3,5",BBBBBBB,SBHHDHT,SHDSBSB,TBTCBTP,DPSSHHT,CPSHHDH
ROW44,Blank,"2,3,5",BBBBBBB,SBTBBDH,HBCHTBD,PBCBDBT,DTDSPTH,CHBDBCD
ROW45,Blank,"2,6",BBBBBBB,TBPSPDS,HBPHTSD,BTBBCBB,PDTBSTC,CHSHTDD
ROW46,Plus,"2,6",BBBBBBB,TDBSCPP,DBHPBPD,BBDTHPH,SDDPSHP,BCSPSCB
ROW47,Hex,"1,2,4",BBBBBSC,HBSSBST,HCPHPPT,CTSBBCB,BBBBBBB,BBBBBBB
ROW48,Blank,"1,3",BBBBBTS,SSBSBSP,HHDHPTS,PCCDPDS,DDBDDPH,PTDHPCH
ROW49,Blank,"4,6",BBBCCSS,HHHTHBD,CBCSBSD,TCHTSTC,PBDSBDS,TPBCDST
ROW50,Blank,"1",BBBCPDT,TDSSHTP,DHSSSHP,TTCCPBC,DPDPBCT,BBTDBSB
ROW51,Blank,"5",BBBDPBD,HHHBPDP,HTTDHDD,HHCPSPB,SBCTSBT,HTHHPBC
ROW52,Blank,"1,4",BBBHCHS,SDDCBDD,BDTSCSC,CHCPTSS,CDTHPHS,THDHTSP
ROW53,Blank,"5",BBBPCBB,STSBDPH,HPCCPCD,SHTTBTH,PCSBHTP,THBHTHP
ROW54,Blank,"4",BBBPDCH,HDPHCPH,HCHSCTS,PBDSCBB,HCHBBTD,HBBSPSD
ROW55,Blank,"5",BBBPHTC,HPSPTHC,PCSTDPS,SDHDBDB,HHCPTBD,CHDCHDB
ROW56,Blank,"2,3,6",BBBPHTC,DCCHHTC,BSBSBBB,DBDPPHD,DBDSDCH,BCDHTHS
ROW57,Blank,"1",BBBTCTD,PDSPPSD,PDSPSHH,DHPSTDS,HCSCPBD,BHSDBSP
ROW58,Blank,"3",BBCBPSB,PTHCTDP,SPHDSPS,HCPDCSH,BBPPDTP,TSDPHSH
ROW59,Blank,"1,3",BBCCHHC,SPDPHDT,SDSTTPP,HBCCSPH,DTHSHTS,HHHCCHS
ROW60,Blank,"2,6",BBCDHHC,HTBDPHD,BBBBBBB,BBBBBBB,BBBBBBB,SDTPTPD
ROW61,Blank,"1,4,5",BBCPSDS,PCHCBBC,PCPCBCC,CCHDPHD,DSHDBCT,SPHCCPT
ROW62,Clover,"4",BBDHTBC,PPDHPBD,TSCCCHD,BCHPPCT,BCSBCPB,TBCDTSH
ROW63,Hex,"3",BBDPBPP,PDDHTTB,SSHPHDP,CHCBPSH,CHPSBSS,SBCBSBB
ROW64,Plus,"1,3,4",BBDPSSS,DSTBSDB,SHTCCTT,TBDTSTH,STTCHPH,BBTBSHB
ROW65,Snake,"3",BBDSBTP,TBBHSBS,DSCBBBC,SCDDBPC,SBHPPHP,CPDPPHD
ROW66,Blank,"1,5,6",BBDSHCP,PHHTBDB,CHBSHSC,BPDDBBH,CSHCBDD,SHDDDHS
ROW67,Blank,"1,3,5,6",BBDSPSD,CHDBBBH,SBDBCTD,TCCPCSD,STSBHHD,THTSDTP
ROW68,Blank,"3",BBDSSPH,PTBSHDD,HSBTBPC,HCPTDHP,BTDHTDS,CCSPBCD
ROW69,Blank,"3,5",BBDSTHD,CDSCCDT,SCDDPPH,SCTCBDH,DDDHCDS,TSHHBHS
ROW70,Blank,"2,6",BBDSTSH,SSHCDTD,CTHSHTS,DDDHTSS,TDTTTHC,TCCSCHS
ROW71,Blank,"3,6",BBDTHPH,THSCCTB,DBCBDPT,CSSBTPH,DCDCPCC,HBBSDDB
ROW72,Blank,"3,5",BBHCTTH,TTCTTSS,SDDDSSD,DPCBSSH,TDTCSCH,CBDCTBT
ROW73,Blank,"3,6",BBHHHDB,TTCCPPP,CHCDBBD,BBBPDCH,PTTPBDS,CCHDTTD
ROW74,Clover,"1,3,4",BBHHSPB,TCSCHDC,HDSPDHB,DDHCHDP,SBSPHCB,CPDSSBD
ROW75,Clover,"6",BBHPDCD,SCCCSSB,BBBBBBB,BBBBBBB,BBBBBBB,STDDCSD
ROW76,Blank,"6",BBHPDSH,CCSDTTC,TDTBSST,CSHPDTD,CCTHBBB,BPBCTTH
ROW77,Blank,"1,3,4",BBHSDTD,STBSDST,SCBTBHT,HHDSBCD,DCPCHCS,CCBHHHC
ROW78,Blank,"3,4,6",BBHTHTD,SCTCCCC,HBDBHDS,SHDBHHT,BSPPTHC,BSSCCHS
ROW79,Blank,"2,3",BBPCBBS,BDTPCHH,HDDHSBS,PDTSDCP,DPSHBST,PSHHSTB
ROW80,Blank,"3,5",BBPHPTB,BPPSDHS,PCTHDTH,TDBPBCC,DPSHSTS,CCTSTHT
ROW81,Blank,"5,6",BBPPDPB,BBPSSHD,SBCTSST,SCSBSPB,DTTBPST,SCHHDTS
ROW82,Clover,"6",BBSCDCT,DBTBDTC,SSSDSPC,DHPHBSC,DPSHDBS,BPPTSTC
ROW83,Blank,"2,5",BBSCDPC,SDBHSSB,DSBCHSD,HHPPBSB,DHTBBHH,PDCDDCS
ROW84,Clover,"2,3,5",BBSHBDC,PPTHSCD,PDPHCSC,SHSHCDP,CBCHCDH,CDDCPBD
ROW85,Blank,"6",BBSHTDB,SCCSHCC,HPBPHTS,STCBCSS,CHCPDDC,PSCCBTB
ROW86,Blank,"2",BBTBBSH,PCDHHTT,TCSDTPB,TTTCTHB,HTDTHHD,HPDSHDC
ROW87,Blank,"2",BBTBPSD,TSDPDTT,TBPDSHH,STPSBDC,CHTHDBT,SCPHSTC
ROW88,Blank,"2,5",BBTSSPD,CSSCTCB,DBDTCBT,CTDTCHD,TBSSHSD,PTBCBBS
ROW89,Plus,"2,3",BCBHCCP,TPTTDHH,DSTPCHP,CBBTCCH,PCBTBHS,PPPTBPB
ROW90,Plus,"2,5",BCBHDBD,SDPTPHD,THPHBDB,THSBHDD,THCBHHC,HHHCBDH
ROW91,Blank,"2,3,4,5",BCBPTPB,BBDBHPC,PBTDPDH,TSTBBTC,HPTBDHB,HPTBHTT
